temperature,pressure_torr,growth_time_min,carrier_flow_sccm,mo_conc_mg,s_conc_mg,substrate,precursor_type,grain_size_nm,raman_peak_pos,coverage_pct,pl_intensity
856.5729810485894,592.0593298439202,9.870313431719216,243.97787807758905,13.757078627347251,494.9958091844324,SiO2/Si,MoF6+S,284.9202561109152,387.9303192091228,67.68776533065122,1.3869565958599233
1147.1901929599417,102.34622317315046,106.67675680718398,383.10195596016376,16.802031607418762,296.4678478618075,hBN,MoO3+S,310.6868666110948,391.6326248344693,,2.2986803750795683
685.0622722496527,407.4581005166096,86.60150278657139,452.630657262386,12.881659798388304,92.91446113995507,hBN,MoF6+S,244.63101460910121,388.3787926390826,70.02905052850109,1.6282240754420834
788.5090358847624,390.85795905769595,24.90970233858787,363.14101389199226,24.51330662700219,507.4167733099667,Mica,MoO3+S,,390.76702640328915,78.54698109436053,0.811012148502709
677.1439352838609,651.7690723187314,15.547915669782778,481.973499539196,34.47965952528183,961.3657302538279,Mica,MoO3+S,,386.30965204756956,,1.5596105093020256
818.0600232599529,351.7812379145127,26.10632132123668,393.1825336617068,12.184390897707607,669.8932407150301,Quartz,Mo(CO)6+H2S,291.78113583162263,389.7977384126496,65.22231157990839,0.8700490389995673
993.4584459597521,292.7295080866586,117.70312564873214,434.73270474834396,17.206051360688466,520.7312287971874,SiO2/Si,MoCl5+S,263.3984223326353,387.2543814400368,93.52709451490855,1.4630726761660082
814.8556586729754,486.10412981307996,57.73447388272633,65.91099487998223,46.588846261868376,155.1574703281353,hBN,Mo(CO)6+H2S,288.832899578918,389.9084495009581,72.64573344423758,
831.7486535717206,202.58547496889292,95.16930905926192,368.882616466956,3.3798952025009457,289.8144760221079,Sapphire,Mo(CO)6+H2S,301.6342332521607,,100.0,1.8657258145988163
842.1618729794143,106.31001548391181,78.18695934239435,225.64346276841061,23.577710656738745,330.03525209581557,SiO2/Si,MoF6+S,279.44282816637167,390.3293144882868,100.0,1.6381579357340543
676.9352364889742,363.23894053064447,70.8275122452433,281.0208631815249,35.86634403824211,776.5633749768726,Mica,MoF6+S,242.17140961343475,387.93090986738736,79.79191726375358,
879.002961284402,316.89423119525316,21.689979286480714,330.5101806463548,8.372246566316228,882.8752574013884,Quartz,Mo(CO)6+H2S,285.5609031165208,388.6426741115279,95.79763303804391,
707.5534977237202,176.82989780789111,113.79281215918093,485.209407185729,3.3213269802686107,906.5597608881166,hBN,MoO3+S,259.0900506289362,389.4201555171267,96.21178625595908,1.161825738474958
659.353139044045,279.3722245064858,39.65440273919256,492.44325990149605,7.772063210288007,985.3401778382164,hBN,MoO3+S,242.17216750084032,389.16413654083306,78.95400153423215,1.8780313838702092
788.7131173478708,278.5216226229654,71.47197981786735,151.23184028907357,46.022336483003464,983.2483489493059,hBN,MoO3+S,291.4988254997987,,70.48524341690285,
742.7305709656097,248.96387939709328,85.4742336277426,369.53921374457894,1.4537293092350474,955.3491761295824,hBN,MoF6+S,279.7162376289523,387.59358874849187,100.0,1.378778663401396
857.4474357831033,288.45475418449337,79.66181285321052,377.4919335882816,10.22777676575624,118.23103347774016,Mica,MoO3+S,303.4928861337648,390.00839129257895,100.0,1.7515055956909062
852.0628680160754,521.1963682119729,113.16835711498462,179.7815020433939,2.532892132180583,180.90385913141492,SiO2/Si,MoCl5+S,290.1913222666142,389.6566757420804,100.0,1.3777620654896858
1002.4347232056788,225.6964330267197,22.07048384080667,70.6961896834683,6.42084391054796,339.2432001522312,Quartz,MoO3+S,,387.2863763009573,66.29874147866104,1.9927405736421966
888.2248487674362,721.1371385109871,63.46056492139834,30.06401054000268,31.38731504478652,575.2533413612384,Mica,MoCl5+S,,387.2017967813017,68.81158188263124,1.7750409019527367
722.7294595350297,696.4328600470614,51.463954935188085,390.8981324892975,12.840306528215203,142.12899427020534,Mica,MoCl5+S,252.8762541451342,387.62167389919654,,0.7332777188601842
778.7642823079286,365.54383446522974,59.52940389050109,249.95287349028388,28.891390471103165,853.5071099120354,Sapphire,MoCl5+S,286.1797711726816,389.2300190849504,81.3688141709319,
713.9912726419007,249.621679683063,18.710015512740632,492.91468305251385,29.91957375554018,635.9183701234437,SiO2/Si,MoF6+S,253.6272347390147,389.30377591013047,74.92459508666497,
